n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo,doublet_score
2674,6362.0,0.12574661,0.29864824,0.007437333578183822
2796,6387.0,0.031313606,0.31313604,0.03955174686882005
2870,8028.0,0.049825612,0.13702042,0.016537293283833954
2306,4629.0,0.08641175,0.2376323,0.04009962640099626
3197,9498.0,0.010528533,0.16845652,0.020358700920988848
2451,5907.0,0.03385813,0.20314881,0.038480272771553824
3565,10611.0,0.04712091,0.20733202,0.1299518696778971
4286,12492.0,1.040666,0.29618958,0.13862351335542988
3311,10277.0,0.019460933,0.08757419,0.05234587049243893
3385,9593.0,0.04169707,0.1980611,0.020358700920988848
2951,7114.0,0.11245431,0.22490862,0.022499527320854605
2359,5369.0,0.0,0.18625443,0.01679199411997512
4102,12652.0,0.6165033,0.22921278,0.16295636687444337
3733,14844.0,0.026946913,0.13473457,0.027341876242033852
1934,3884.0,0.05149331,0.20597324,0.022183230981325984
2625,6423.0,0.015569049,0.24910478,0.0728891027183065
1741,3374.0,0.0,0.14819206,0.043569006000521784
3406,8910.0,0.011223344,0.23569025,0.026968128575320074
3179,7624.0,0.013116473,0.23609653,0.1670074982958418
2774,7573.0,0.0,0.14525287,0.03449333128928407
2185,4415.0,0.0,0.29445073,0.015544041450777204
1922,4058.0,0.17249876,0.34499753,0.02125562195798164
2255,4096.0,0.9033203,0.48828125,0.20085015940488848
2179,3569.0,0.532362,0.5043429,0.018376990840674404
2299,4486.0,0.022291575,0.3343736,0.05628232430787952
3150,8610.0,0.011614402,0.18583043,0.01458986274721712
4997,16226.0,0.012325897,0.20337729,0.18503839484765913
3886,10900.0,0.04587156,0.17431192,0.1670074982958418
2095,4454.0,0.022451729,0.20206557,0.06151368760064413
3017,8161.0,0.061267003,0.13478741,0.01132303356650395
3199,7133.0,0.32244498,0.37852237,0.04122060187136475
2566,5797.0,0.086251505,0.25875452,0.026598984771573603
2996,7126.0,0.0,0.3227617,0.04805744798379671
1083,1648.0,0.24271844,0.3640777,0.1085034560360071
2865,5704.0,0.17531557,0.2454418,0.036429585238921314
2385,5410.0,0.018484289,0.40665436,0.007950160397972942
1500,2718.0,0.036791757,0.22075056,0.023470565602154672
5810,26428.0,0.0075677317,0.13243529,0.11276701440635871
4022,12009.0,0.049962528,0.26646683,0.01783755700513768
3744,10208.0,0.0,0.22531347,0.036429585238921314
3409,10088.0,0.019825535,0.2180809,0.033565164801935284
4250,15204.0,1.2825572,0.21704815,0.09368254425097133
2755,6537.0,0.0,0.10708276,0.02849162011173184
3201,9203.0,0.021732043,0.23905249,0.087378640776699
2669,6531.0,0.03062318,0.1684275,0.05310513447432763
3159,9641.0,0.0,0.17633025,0.027341876242033852
2965,7397.0,0.013518994,0.25686088,0.1482701812191103
3413,9625.0,0.01038961,0.1974026,0.022499527320854605
1971,3770.0,0.0,0.397878,0.031783402001177165
4121,11624.0,0.025808671,0.16345492,0.03955174686882005
5412,25867.0,0.007731859,0.13530754,0.011939993876926219
2515,5900.0,0.0,0.22033897,0.026598984771573603
2551,5972.0,0.01674481,0.28466174,0.013448657771214598
4485,18313.0,0.0,0.20204227,0.09886159376872378
1607,2669.0,0.2248033,0.11240165,0.03955174686882005
3152,7221.0,0.20772748,0.26312146,0.01783755700513768
2617,6879.0,0.0,0.14536996,0.05234587049243893
5959,27214.0,0.0036745793,0.16903065,0.12464183381088827
4408,17815.0,0.01683974,0.1908504,0.02125562195798164
5986,29049.0,0.013769837,0.15491067,0.07525823905558288
3894,13563.0,0.007373,0.132714,0.03009458297506449
3169,8957.0,0.022328906,0.3014402,0.06151368760064413
3424,10007.0,0.66953135,0.29979014,0.07174301011302793
3922,13351.0,0.007490076,0.22470227,0.04607094746295465
1836,3596.0,0.05561735,0.41713017,0.026598984771573603
2878,7605.0,0.05259698,0.22353713,0.049438202247191004
2504,5800.0,0.06896552,0.22413793,0.044799858619775555
3302,7729.0,0.18113598,0.29758054,0.1553273427471116
2336,5511.0,0.10887316,0.2903284,0.025874172628200846
3763,11948.0,0.0,0.15065283,0.028103532024148215
2749,7821.0,0.0,0.19179133,0.18503839484765913
2642,6066.0,0.04945598,0.13188262,0.08589951377633712
4369,14460.0,0.020746889,0.17980637,0.024476209124730763
2263,5442.0,0.055126794,0.23888278,0.006937202448424394
1540,2888.0,0.069252074,0.24238226,0.004758026490633975
3120,7310.0,0.3009576,0.16415869,0.020358700920988848
2805,6753.0,0.05923293,0.19250703,0.05387803433984607
4209,13595.0,0.014711291,0.21331371,0.04237650886054276
3502,9503.0,0.0,0.19993687,0.07648302449944037
3402,9577.0,0.020883366,0.20883368,0.010921059193138183
2215,4208.0,0.0,0.38022813,0.06339647432388043
