n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo
2025,4372.0,0.0,0.16010979
3500,10957.0,0.009126586,0.27379757
3637,11838.0,0.06757899,0.22807907
3948,12250.0,0.04897959,0.1632653
1924,3700.0,0.054054055,0.32432434
421,501.0,1.9960079,0.1996008
2969,6696.0,0.2986858,0.22401434
3946,15684.0,0.025503699,0.13389441
1386,2323.0,0.043047786,0.43047783
3881,12174.0,0.057499588,0.15607032
4324,12066.0,1.0028179,0.38123652
2787,7287.0,0.041169204,0.16467682
1989,3933.0,0.025425883,0.33053648
2724,6766.0,0.014779781,0.29559562
3156,7809.0,0.07683442,0.15366884
2596,5955.0,0.050377835,0.1679261
4510,14255.0,0.014030165,0.22448264
4408,13631.0,0.014672437,0.1540606
1901,3423.0,0.08764242,0.17528483
4067,9626.0,0.031165592,0.3012674
2552,6455.0,0.12393494,0.1859024
3214,7895.0,0.063331224,0.18999366
2813,7951.0,0.0,0.100616276
1952,3421.0,0.0,0.49693072
4903,17592.0,0.03410641,0.14211005
1956,3720.0,0.7258065,0.43010753
4697,14570.0,0.013726836,0.21276595
3056,8543.0,0.23410979,0.2224043
5496,19529.0,5.955246,0.56326485
452,545.0,0.36697248,1.1009175
2860,6187.0,1.5839664,0.25860676
4115,11769.0,0.025490694,0.26340386
2055,3919.0,0.025516713,0.2041337
3614,12232.0,0.08992806,0.19620666
5042,20794.0,0.0048090797,0.15869963
2405,5382.0,0.037160907,0.13006318
3436,10938.0,0.0,0.18284878
1285,1963.0,0.61130923,0.4584819
1960,3489.0,2.5795357,0.48724562
2940,7420.0,0.16172507,0.16172507
5078,17815.0,0.07858546,0.20207691
1387,2140.0,0.093457945,0.18691589
2173,4062.0,0.07385524,0.19694732
1807,2976.0,0.13440861,0.40322578
3857,11729.0,1.1254156,0.18756928
3058,7844.0,0.06374299,0.20397757
2515,5731.0,0.017448962,0.3140813
2104,4580.0,0.021834062,0.37117904
2969,8125.0,0.0,0.20923077
2900,7302.0,0.0,0.30128732
3147,8096.0,0.037055336,0.20998025
3358,8969.0,0.04459806,0.24528934
3097,8167.0,0.024488796,0.17142157
2899,6309.0,0.0,0.2377556
3798,12256.0,0.016318537,0.14686684
3336,7279.0,0.054952603,0.35719192
3374,12787.0,0.0,0.20333152
3564,10226.0,0.13690594,0.22491688
2255,4833.0,0.08276433,0.28967515
3283,8899.0,0.04494887,0.123609394
4018,11867.0,0.042133648,0.19381478
1911,3352.0,0.059665874,0.53699285
1880,3192.0,0.06265664,0.40726817
1954,4077.0,0.024527838,0.39244542
2715,7056.0,0.042517006,0.29761904
2209,5060.0,0.0,0.15810277
2390,5893.0,0.016969286,0.18666214
2228,4775.0,0.041884817,0.2931937
2175,4285.0,0.023337223,0.18669778
3450,8778.0,0.022784233,0.19366598
4299,13660.0,0.102489024,0.20497805
2245,4084.0,0.09794319,0.48971596
3795,10969.0,0.89342695,0.19144863
3538,9391.0,0.0,0.1597274
4606,15411.0,0.019466614,0.23359938
3583,8629.0,0.06953297,0.1622436
4398,18818.0,0.0,0.20724837
2751,6998.0,0.014289797,0.25721633
4342,15670.0,0.0,0.20421188
3148,7268.0,0.04127683,0.30269676
2951,6195.0,0.0,0.30669895
6582,33586.0,0.008932293,0.20544276
2018,4095.0,0.0,0.07326008
3969,12085.0,0.008274721,0.16549441
3724,10325.0,0.0,0.2615012
3244,8408.0,1.7364415,0.17840151
3947,14975.0,0.006677796,0.1936561
3258,7726.0,0.07765985,0.23297954
2496,4859.0,0.082321465,0.2469644
3150,8588.0,0.034932464,0.37261295
2885,7701.0,0.012985326,0.27269185
3743,10257.0,0.048747197,0.2534854
2482,6199.0,0.016131634,0.22584288
8176,54047.0,0.025903381,0.15727052
3941,12485.0,0.016019223,0.19223067
4303,13736.0,0.014560279,0.13832267
5643,23626.0,0.004232625,0.09311775
2497,6027.0,0.0,0.28206402
2855,6978.0,0.057323016,0.1862998
2500,6595.0,0.015163003,0.19711903
1177,1753.0,0.11409014,0.28522533
3044,8632.0,0.1621872,0.2432808
2124,4778.0,0.020929258,0.14650482
4468,12522.0,0.0718735,0.27950805
1513,2716.0,0.0,0.4786451
3650,12952.0,0.015441631,0.17757876
3146,7944.0,0.012588117,0.2895267
2726,5886.0,0.016989468,0.40774718
3066,8127.0,0.012304663,0.1353513
2092,4176.0,0.7662835,0.40708813
3944,11905.0,0.008399832,0.12599748
4958,19317.0,0.015530361,0.15530361
3336,8132.0,0.024594195,0.31972456
2857,7547.0,0.039750893,0.22525507
3033,9395.0,0.0,0.24481106
2013,3535.0,0.113154165,0.2545969
3259,8857.0,0.09032404,0.30484363
3181,10471.0,0.009550186,0.14325279
449,541.0,0.0,1.1090573
2084,4478.0,0.111656986,0.111656986
4245,14189.0,0.035238564,0.24666996
2730,6258.0,0.19175455,0.33557048
1506,2807.0,0.071250446,0.14250089
1265,1803.0,2.4403772,1.0537993
2030,4116.0,0.0728863,0.34013605
4352,16517.0,0.23612036,0.14530483
3475,10198.0,0.0,0.21572858
4629,18031.0,0.005546004,0.14974211
2173,4377.0,0.0,0.22846697
2781,6736.0,0.059382424,0.3117577
1712,3240.0,0.0617284,0.2777778
