Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
Reactome_2022,Axon Guidance R-HSA-422475,30/519,0.558460490294726,0.999996057984298,0,0,0.9851944172853566,0.5739460963778612,SEMA5A;EPHB6;ROBO3;SPTBN5;ITGA2B;SEMA3E;LDB2;NTN1;ROBO1;ALCAM;RELN;ABLIM3;MYH14;SCN5A;EPHB2;SEMA4A;TRPC5;EPHA7;TRPC6;TRPC3;EPHA8;LAMB1;GFRA2;RGMA;VAV2;EFNA1;CXCL12;LHX2;SCN4B;FGFR1,anterior_up
Reactome_2022,G Alpha (I) Signaling Events R-HSA-418594,18/312,0.5621289133544766,0.999996057984298,0,0,0.9833056272769072,0.5664077116409535,OPRD1;CHRM2;CASR;HTR1F;PDE1A;RGS16;LPAR1;OPRK1;SSTR1;PDYN;GNG12;PLCB4;CXCL12;PENK;PPP1R1B;RGS20;ACKR3;RGS8,anterior_up
Reactome_2022,Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,6/103,0.5654779902269138,0.999996057984298,0,0,0.9936694311329596,0.5664749496695461,JUN;PELI2;TLR7;ALPK1;S100B;NFKB1,anterior_up
Reactome_2022,GPVI-mediated Activation Cascade R-HSA-114604,2/32,0.5669563983864009,0.999996057984298,0,0,1.0711111111111111,0.6078265038096011,LCP2;VAV2,anterior_up
Reactome_2022,Gluconeogenesis R-HSA-70263,2/32,0.5669563983864009,0.999996057984298,0,0,1.0711111111111111,0.6078265038096011,ALDOC;SLC25A13,anterior_up
Reactome_2022,Phase 0 - Rapid Depolarisation R-HSA-5576892,2/32,0.5669563983864009,0.999996057984298,0,0,1.0711111111111111,0.6078265038096011,SCN5A;SCN4B,anterior_up
Reactome_2022,Signaling By NOTCH2 R-HSA-1980145,2/32,0.5669563983864009,0.999996057984298,0,0,1.0711111111111111,0.6078265038096011,NOTCH2;JAG1,anterior_up
Reactome_2022,Aquaporin-mediated Transport R-HSA-445717,3/50,0.5676492782073295,0.999996057984298,0,0,1.0254809529876416,0.5806801472503912,MYO5B;AQP4;GNG12,anterior_up
Reactome_2022,Ion Homeostasis R-HSA-5578775,3/50,0.5676492782073295,0.999996057984298,0,0,1.0254809529876416,0.5806801472503912,PLN;FXYD1;RYR3,anterior_up
Reactome_2022,Acetylcholine Binding And Downstream Events R-HSA-181431,1/14,0.570743987595477,0.999996057984298,0,0,1.2359587466333837,0.6931436209291185,CHRNA5,anterior_up
Reactome_2022,Creation Of C4 And C2 Activators R-HSA-166786,1/14,0.570743987595477,0.999996057984298,0,0,1.2359587466333837,0.6931436209291185,MASP1,anterior_up
Reactome_2022,Lysosphingolipid And LPA Receptors R-HSA-419408,1/14,0.570743987595477,0.999996057984298,0,0,1.2359587466333837,0.6931436209291185,LPAR1,anterior_up
